year,kind,severity,magnitude_pv,colson_panofsky,brown1,temperature_gradient,horizontal_divergence,vertical_wind_shear,endlich,deformation,wind_speed,ngm2,negative_richardson,rva_magnitude,ubf,nva,brown2,vorticity_squared,ti1,ngm1,ti2,f2d,ncsu1,ensemble
1979,rate,light,0.0431185689986,0.00118891366154,0.0643239730248,0.0874951628471,0.0347418873899,0.0680080655727,0.0297793516132,0.0541527500119,0.0322222865036,0.0129544516112,0.00511369029976,0.0490577177542,0.021934952281,0.0459793904599,0.0805505160835,0.0587985300031,0.0699649946756,0.0523317537111,0.0653239626564,0.00483836547164,0.0320363364323,0.0435197914792
1979,rate,light_to_moderate,0.0176503875515,0.000445432447605,0.018129310808,0.0293314200627,0.0100020514318,0.0252087381932,0.00840140454308,0.0151532052799,0.00791930247646,0.00296993206616,0.000496692234502,0.015138267875,0.00416524577378,0.0144247717695,0.0285261223133,0.0136755405357,0.0243149282429,0.0160759790652,0.0229391297627,0.000740249375864,0.00943112581957,0.0135780589347
1979,rate,moderate,0.00935909953512,0.000278106912641,0.00703952906938,0.0128717699525,0.00424980296679,0.0126844484983,0.00356654608355,0.00600032020922,0.00296601736156,0.00109455372609,8.90895487212e-05,0.00660492675964,0.00117626100363,0.00633374052063,0.0134355309566,0.00518725357898,0.0112775752317,0.00724316276091,0.0107883397165,0.000193784716577,0.00399168379046,0.00602054966189
1979,rate,moderate_to_severe,0.00525759687629,0.000175356422433,0.00298505181835,0.00601287162995,0.00194932055708,0.00705823007236,0.00170594091637,0.00258362990094,0.00115643579547,0.000478040421718,2.82315364164e-05,0.00317051005737,0.000359598173914,0.00303361533226,0.00681354068083,0.00221224885015,0.00567088621244,0.0035649399519,0.00544557391434,6.2829010895e-05,0.00182721407049,0.00293103153343
1979,rate,severe,0.00287442110804,0.000111505986113,0.00119290936341,0.00267575891186,0.000824988296546,0.00380421406231,0.000819434082251,0.00107441620762,0.000484046041417,0.000208560832027,1.2009915423e-05,0.00150515533143,0.000102095264584,0.00142670661083,0.00340957326851,0.000893397117333,0.00279668973722,0.00171214206713,0.0026650800448,2.03308738657e-05,0.000786573774183,0.00140000042366
1979,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2920
1980,rate,light,0.0661410797446,0.00250339888954,0.0668458180482,0.10478470084,0.0423499439838,0.0793307507542,0.0392114653774,0.0603336542288,0.0302618681832,0.0172289757374,0.0063510388341,0.0630107463685,0.0282392097332,0.0562478027683,0.0916566473216,0.0610491200457,0.079710525749,0.0585632891718,0.0743819405816,0.00715146993247,0.0347433281871,0.050956989261
1980,rate,light_to_moderate,0.0304158863787,0.0009688757003,0.0194992702984,0.0368222802182,0.0129688981207,0.0290590709698,0.0117791733727,0.018154450336,0.00629942006362,0.00440081554736,0.00102418074006,0.0216988458744,0.00582358851982,0.0196645971647,0.0320658514144,0.0143490453708,0.0277130425365,0.0188320659095,0.0264832214757,0.00166485168183,0.0105800189695,0.0166794024125
1980,rate,moderate,0.0172523995812,0.00052687058719,0.00810194049814,0.0171889855771,0.00575721990375,0.0143908848752,0.00517745302747,0.00768696934402,0.0019368213086,0.00170879733328,0.000275555908425,0.0102783588378,0.00174870265867,0.00939947755452,0.0151528110637,0.00557351377519,0.0130355209074,0.00846625651176,0.0127135087789,0.000579787121708,0.00458845716658,0.00769239487241
1980,rate,moderate_to_severe,0.0100890238728,0.000316779156911,0.00366682824607,0.00873280631738,0.00276867437355,0.00781080770009,0.00255387723162,0.00354198594384,0.000714115801506,0.000761292580661,9.53302176897e-05,0.0052944685713,0.000544920297416,0.00492628288901,0.0078017415591,0.00251056506564,0.00670456880987,0.00414217448741,0.00664282324837,0.000207110742829,0.00215236152223,0.00390373993501
