subdir,store,n_problems,problems
derived/north_atlantic_audit,diagnostics_na_1987-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1987-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1987-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1987-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1987-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1987-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1987-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1987-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1987-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1987-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1987-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1987-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1988-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1989-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1990-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1991-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1992-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1993-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1994-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1995-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1996-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1997-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1998-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1999-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2000-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2001-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2002-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2003-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2004-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2005-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2006-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2007-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2008-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2009-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2009-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2009-03.zarr,0,
