severity,diagnostic,panel,uses_stencil,level_ours_pct,level_his_pct,level_ratio,na_share_ours,na_share_his,change_ours,ci_lo,ci_hi,t_ours,rel_his,p_his,his_inside_our_ci,sig_ours,sig_his,sig_agree
MOG,rva_magnitude,u,0,0.801821,0.83,0.966049,2.00455,2.075,0.292548,0.111125,0.47397,3.2589,0.29,0.003,1,1,1,1
SOG,negative_richardson,a,1,0.003211,0.0125,0.25688,0.03211,0.125,0.180348,-0.693032,1.05373,0.4173,-0.139,0.3,1,0,0,1
SOG,vertical_wind_shear,b,1,0.417119,0.47,0.887487,4.17119,4.7,0.597002,0.363943,0.830062,5.177,0.549,6e-07,1,1,1,1
SOG,colson_panofsky,c,1,0.016003,0.13,0.1231,0.16003,1.3,0.683452,-0.133704,1.50061,1.6903,0.551,0.002,1,0,1,0
SOG,f2d,d,1,0.004941,0.013,0.380077,0.04941,0.13,0.266199,-0.482222,1.01462,0.7188,0.001,1,1,0,0,1
SOG,brown1,e,0,0.145703,0.145,1.00485,1.45703,1.45,0.729093,0.516379,0.941807,6.9271,0.712,1e-07,1,1,1,1
SOG,brown2,f,1,0.369562,0.42,0.87991,3.69562,4.2,0.762196,0.517834,1.00656,6.3038,0.689,3e-08,1,1,1,1
SOG,ti1,g,1,0.307369,0.37,0.830727,3.07369,3.7,0.691034,0.452049,0.930018,5.8438,0.585,6e-07,1,1,1,1
SOG,ti2,h,1,0.311544,0.37,0.842011,3.11544,3.7,0.408217,0.209842,0.606593,4.1588,0.318,0.0004,1,1,1,1
SOG,deformation,i,0,0.140257,0.145,0.96729,1.40257,1.45,0.552179,0.363436,0.740922,5.9125,0.535,5e-06,1,1,1,1
SOG,magnitude_pv,j,1,0.432162,0.45,0.96036,4.32162,4.5,0.70262,0.455799,0.949441,5.7531,0.901,2e-09,1,1,1,1
SOG,vorticity_squared,k,0,0.102857,0.08,1.28571,1.02857,0.8,0.730608,0.506569,0.954647,6.5906,0.694,5e-07,1,1,1,1
SOG,temperature_gradient,l,0,0.364494,0.4,0.911235,3.64494,4,0.413827,0.254151,0.573504,5.2378,0.395,6e-06,1,1,1,1
SOG,wind_speed,m,0,0.050252,0.05,1.00504,0.50252,0.5,1.00915,0.082296,1.936,2.2004,1.022,0.03,1,1,1,1
SOG,endlich,n,1,0.106156,0.23,0.461548,1.06156,2.3,0.57636,0.370413,0.782306,5.656,0.363,3e-05,0,1,1,1
SOG,ngm1,o,0,0.185521,0.21,0.883433,1.85521,2.1,0.786177,0.410179,1.16217,4.2257,0.776,0.0002,1,1,1,1
SOG,ngm2,p,1,0.029125,0.051,0.571078,0.29125,0.51,0.370525,0.116876,0.624174,2.9522,0.42,0.001,1,1,1,1
SOG,ubf,q,0,0.010366,0.135,0.0767852,0.10366,1.35,0.184738,-0.05514,0.424616,1.5564,0.437,9e-05,0,0,1,0
SOG,horizontal_divergence,r,0,0.109447,0.117,0.935444,1.09447,1.17,0.064718,-0.070983,0.200419,0.9639,0.081,0.2,1,0,0,1
SOG,ncsu1,s,1,0.09265,0.036,2.57361,0.9265,0.36,0.472314,0.212317,0.732311,3.6714,0.097,0.5,0,1,0,0
SOG,nva,t,0,0.184399,0.19,0.970521,1.84399,1.9,0.351751,0.139226,0.564277,3.345,0.358,0.002,1,1,1,1
SOG,rva_magnitude,u,0,0.190466,0.2,0.95233,1.90466,2,0.338141,0.11041,0.565872,3.0008,0.348,0.004,1,1,1,1
